,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
265,2.0,0.01639,0.18033,0.04918,0.08197,1.0
266,2.0,0.0,0.0,0.0,0.0,4.0
267,2.0,0.0,0.15385,0.0,0.07692,3.0
268,2.0,0.04348,0.13043,0.04348,0.13043,6.0
269,2.0,0.25,0.0,0.0,0.0,2.0
270,2.0,0.0,0.0,0.0,0.0,6.0
271,4.0,0.0,0.0,0.0,0.0,1.0
272,2.0,0.08,0.0,0.04,0.16,2.0
273,2.0,0.14286,0.09524,0.0,0.09524,5.0
274,2.0,0.0,0.0,0.0,0.0,6.0
275,4.0,0.0,0.02703,0.02703,0.59459,3.0
276,2.0,0.03846,0.5,0.03846,0.26923,5.0
277,2.0,0.0,0.0,0.0,0.0,2.0
278,2.0,0.1087,0.19565,0.26087,0.26087,0.0
279,2.0,0.0,0.05,0.0,0.35,2.0
280,2.0,0.0,0.0,0.0,0.125,4.0
281,5.0,0.0,0.2,0.0,0.2,6.0
282,2.0,0.0,0.46154,0.0,0.07692,5.0
283,2.0,0.0,0.57143,0.14286,0.42857,4.0
284,2.0,0.0,0.25,0.0,0.75,6.0
285,2.0,0.0,0.29032,0.0,0.09677,2.0
286,2.0,0.0,0.5,0.0,0.75,4.0
287,5.0,0.14286,0.0,0.14286,0.0,4.0
288,2.0,0.0,0.07692,0.0,0.0,4.0
289,2.0,0.0,0.0,0.0,0.0,2.0
290,2.0,0.0,0.0,0.0,0.0,6.0
291,2.0,0.0,0.0,0.0,0.0,6.0
292,2.0,0.0,0.0,0.0,0.0,2.0
293,2.0,0.05405,0.24324,0.16216,0.02703,4.0
294,2.0,0.03774,0.41509,0.0,0.20755,5.0
295,2.0,0.0,0.0,0.0,0.0,3.0
296,2.0,0.0,0.0,0.0,0.0,6.0
297,2.0,0.0,0.0,0.0,0.0,6.0
298,2.0,0.03226,0.70968,0.03226,0.0,3.0
299,2.0,0.0,0.0,0.0,0.0,3.0
300,2.0,0.0,0.0,0.0,0.0,4.0
301,2.0,0.0,0.0,0.0,0.0,6.0
302,2.0,0.0,1.0,0.0,0.0,6.0
303,2.0,0.0,0.0,0.0,0.95652,1.0
304,2.0,0.0,0.125,0.0,0.0,3.0
305,2.0,0.01449,0.13043,0.07246,0.04348,4.0
306,2.0,0.0,0.0,0.0,0.0,5.0
307,2.0,0.0,0.5,0.0,0.0,4.0
308,2.0,0.05263,0.26316,0.10526,0.78947,1.0
