,MaterialTecho,Habitantes/Vivienda,Fuente_Combustible,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,Prevalencia
116,0.0,3.5,2.0,0.5,0.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0
117,0.0,4.33333,3.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
118,0.0,5.125,2.0,0.95833,0.0,1.0,2.75,4.625,1.0,1.125,2.0,0.04167,0.33333,0.25,0.45833,0.95833,1.0,3.0,2.0,1.0,1.0,2.0
119,3.0,3.5,2.0,0.5,0.0,1.0,2.0,3.5,1.0,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,9.0
120,3.0,3.95833,2.0,0.95833,0.0,1.0,1.91667,2.97222,1.0,1.0,2.0,0.0,0.55556,0.0,0.0,0.91667,1.0,3.0,2.0,1.0,1.0,4.0
121,0.0,4.375,2.0,1.0,0.0,1.0,2.625,3.5,1.0,1.0,2.0,0.0,0.0,0.125,0.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0
122,0.0,4.0,3.0,1.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,9.0
123,0.0,3.7,2.0,1.0,0.0,0.0,2.09091,3.81818,1.0,1.0,2.0,0.0,0.09091,0.0,0.36364,1.0,1.0,2.0,2.0,1.0,1.0,0.0
124,2.0,5.5,3.0,1.0,0.0,1.0,2.25,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0
125,0.0,5.42857,2.0,1.0,0.0,1.0,2.42857,3.57143,1.0,1.14286,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,6.0
126,0.0,5.25,3.0,1.0,0.0,1.0,2.0,4.625,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0
127,3.0,4.15385,2.0,0.84615,0.0,1.0,1.84615,3.61538,1.0,1.0,2.0,0.0,0.07692,0.0,0.07692,1.0,1.0,3.0,1.0,1.0,1.0,5.0
128,0.0,5.88889,3.0,0.83333,0.0,1.0,2.5,4.05556,0.0,1.11111,2.0,0.0,0.27778,0.05556,0.38889,0.61111,1.0,3.0,1.0,0.0,0.83333,7.0
129,0.0,3.57143,2.0,0.98571,0.0,1.0,1.9,3.04286,1.0,1.05714,2.0,0.00714,0.53571,0.01429,0.15,0.99286,1.0,3.0,2.0,1.0,1.0,6.0
130,3.0,5.05,3.0,1.0,0.0,0.0,2.0,3.55,0.0,1.0,2.0,0.0,0.0,0.0,0.7,0.85,1.0,3.0,1.0,0.0,0.9,2.0
131,0.0,4.0,3.0,1.0,0.0,1.0,1.83333,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.83333,7.0
132,0.0,4.75,4.0,1.0,0.0,1.0,2.125,4.0,1.0,1.25,2.0,0.125,0.125,0.0,0.0,0.75,1.0,7.0,0.0,1.0,1.0,6.0
133,3.0,5.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,9.0
134,0.0,4.64286,2.0,1.0,0.0,0.0,2.14286,3.14286,1.0,1.0,2.0,0.0,0.42857,0.14286,0.07143,1.0,1.0,3.0,2.0,1.0,1.0,4.0
135,0.0,5.125,2.0,1.0,0.0,1.0,2.0,3.25,1.0,1.0,2.0,0.0,0.25,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0
136,0.0,4.25,3.0,1.0,0.0,1.0,1.875,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.25,1.0,1.0,7.0,0.0,1.0,1.0,8.0
