,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
135,1.0,0.125,0.0,0.0,0.5,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.25,0.0,0.0,1.0,1.0,3.0,3.0
136,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.5,2.25,2.0,0.0,0.0,0.0,0.25,1.0,1.0,2.0,4.0
137,0.33333,0.25,0.0,0.0,0.41667,0.0,0.0,0.0,2.0,2.63636,2.0,0.0,0.25,0.08333,0.0,1.0,1.0,3.0,3.0
138,0.82143,0.60714,0.07143,0.10714,0.60714,0.0,0.03571,0.03571,1.89286,2.67857,2.0,0.07143,0.25,0.03571,0.10714,1.0,1.0,3.0,2.0
139,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
140,0.5,0.83333,0.0,0.0,0.0,0.0,0.0,0.0,1.83333,2.4,2.0,0.0,0.33333,0.0,0.33333,1.0,1.0,2.0,3.0
141,0.65823,0.05063,0.0,0.0,0.17722,0.01266,0.0,0.0,2.0,2.98718,2.0,0.02532,0.29114,0.0,0.16456,0.98734,0.98734,3.0,3.0
142,0.63636,0.06061,0.06061,0.0,0.27273,0.0,0.06061,0.0303,1.9697,2.51515,2.0,0.0,0.0303,0.06061,0.66667,0.9697,0.9697,2.0,2.0
143,0.33333,0.0,0.0,0.06667,0.4,0.0,0.06667,0.0,2.0,2.42857,4.0,0.0,0.06667,0.0,0.66667,1.0,0.93333,2.0,2.0
144,0.59459,0.21622,0.0,0.0,0.10811,0.02703,0.18919,0.13514,2.0,2.80556,2.0,0.0,0.05405,0.0,0.35135,0.91892,0.91892,2.0,3.0
145,0.375,0.3125,0.0,0.0,0.1875,0.0,0.0,0.0,2.0,2.06667,2.0,0.0,0.0,0.0,1.0,0.875,0.875,2.0,2.0
146,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
147,0.81818,0.09091,0.18182,0.0,0.45455,0.0,0.09091,0.0,2.0,2.54545,2.0,0.0,0.09091,0.18182,0.0,0.90909,1.0,3.0,2.0
148,0.65385,0.30769,0.0,0.0,0.23077,0.5,0.03846,0.03846,1.96154,2.5,2.0,0.07692,0.07692,0.0,0.15385,0.96154,1.0,3.0,2.0
149,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0
150,0.91667,0.5,0.08333,0.08333,0.5,0.0,0.0,0.0,1.83333,2.66667,2.0,0.0,0.33333,0.08333,0.0,0.91667,1.0,3.0,2.0
151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33333,2.33333,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
152,0.63636,0.27273,0.0,0.0,0.22727,0.0,0.0,0.0,1.90909,2.27273,2.0,0.04545,0.22727,0.09091,0.18182,1.0,1.0,3.0,3.0
153,1.0,0.0,0.0,0.0,0.14286,0.0,0.0,0.0,1.92857,2.71429,2.0,0.0,0.07143,0.07143,0.07143,0.92857,0.85714,3.0,3.0
154,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
155,0.30435,0.17391,0.01449,0.0,0.11594,0.0,0.04348,0.05797,1.97101,2.33824,4.0,0.01449,0.05797,0.02899,0.2029,0.57971,0.89855,0.0,1.0
156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.66667,2.0,0.0,0.33333,0.0,0.33333,1.0,1.0,3.0,2.0
