,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
243,0.0,1.0,0.0,0.0,1.0
244,0.0,0.09524,0.0,0.04762,1.0
245,0.0,0.0,0.0,0.0,2.0
246,0.23077,0.76923,0.15385,0.76923,2.0
247,0.08333,0.66667,0.0,0.08333,0.0
248,0.0,0.03846,0.0,0.26923,1.0
249,0.0,0.0,0.0,0.0,2.0
250,0.0,0.4,0.0,0.0,2.0
251,0.0,0.0,0.0,1.0,2.0
252,0.22222,0.0,0.0,0.11111,2.0
253,0.0,0.0,0.0,0.05556,2.0
254,0.0,0.04,0.04,0.0,2.0
255,0.0137,0.0274,0.0,0.83562,1.0
256,0.0,0.0,0.0,0.0,2.0
257,0.0,0.0,0.0,0.0,2.0
258,0.0,0.0,0.1,0.0,1.0
259,0.0,0.0,0.0,0.0,2.0
260,0.09091,0.18182,0.0,0.63636,1.0
261,0.0,0.0,0.0,0.0,2.0
262,0.0,0.0,0.54545,0.18182,1.0
263,0.0,0.0,0.0,0.0,0.0
264,0.2,0.2,0.1,0.6,1.0
265,0.01639,0.18033,0.04918,0.08197,0.0
266,0.0,0.0,0.0,0.0,1.0
267,0.0,0.15385,0.0,0.07692,1.0
268,0.04348,0.13043,0.04348,0.13043,2.0
269,0.25,0.0,0.0,0.0,1.0
270,0.0,0.0,0.0,0.0,2.0
271,0.0,0.0,0.0,0.0,0.0
272,0.08,0.0,0.04,0.16,1.0
273,0.14286,0.09524,0.0,0.09524,2.0
274,0.0,0.0,0.0,0.0,2.0
275,0.0,0.02703,0.02703,0.59459,1.0
276,0.03846,0.5,0.03846,0.26923,2.0
277,0.0,0.0,0.0,0.0,1.0
278,0.1087,0.19565,0.26087,0.26087,0.0
279,0.0,0.05,0.0,0.35,0.0
280,0.0,0.0,0.0,0.125,2.0
281,0.0,0.2,0.0,0.2,2.0
282,0.0,0.46154,0.0,0.07692,2.0
283,0.0,0.57143,0.14286,0.42857,1.0
284,0.0,0.25,0.0,0.75,2.0
285,0.0,0.29032,0.0,0.09677,0.0
286,0.0,0.5,0.0,0.75,2.0
287,0.14286,0.0,0.14286,0.0,1.0
288,0.0,0.07692,0.0,0.0,1.0
289,0.0,0.0,0.0,0.0,1.0
290,0.0,0.0,0.0,0.0,2.0
291,0.0,0.0,0.0,0.0,2.0
292,0.0,0.0,0.0,0.0,1.0
293,0.05405,0.24324,0.16216,0.02703,1.0
294,0.03774,0.41509,0.0,0.20755,2.0
295,0.0,0.0,0.0,0.0,1.0
296,0.0,0.0,0.0,0.0,2.0
297,0.0,0.0,0.0,0.0,2.0
298,0.03226,0.70968,0.03226,0.0,1.0
299,0.0,0.0,0.0,0.0,1.0
300,0.0,0.0,0.0,0.0,1.0
301,0.0,0.0,0.0,0.0,2.0
302,0.0,1.0,0.0,0.0,2.0
303,0.0,0.0,0.0,0.95652,0.0
304,0.0,0.125,0.0,0.0,1.0
305,0.01449,0.13043,0.07246,0.04348,1.0
306,0.0,0.0,0.0,0.0,2.0
307,0.0,0.5,0.0,0.0,2.0
308,0.05263,0.26316,0.10526,0.78947,0.0
